Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319193,710.207977031373,732.397693260192,693.713226496371,579.897426172445,527.338032291584,527.258362649643,522.42562489518,478.633718476359,446.000041432788,470.293423341398,494.794262222936,471.248625718934,510.556338454251,493.899623852233,493.757329875319,591.21169798261,592.605615063006,580.656749587853,555.446458398235,585.950813757166,574.294549649056,554.607798864163,623.937311932306,
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,
Ghana,GHA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,7.13915966742473e-05,7.13915966742473e-05,7.13915966742473e-05,7.13915966742473e-05,7.13915966742473e-05,7.13915966742473e-05,7.13915966742473e-05,8.60811947925269e-05,0.000101985139685,0.000101985139685,0.000101985139685,0.0001034293628032,0.0001332674788427,0.0001164373654914,0.000114938171943,0.000114938171943,0.000114938171943,0.000114938171943,0.0001762631838126,0.0002748521505376,0.0002748521505376,0.0002748521505376,0.0002748521505376,0.0008825227701446,0.0035966844251375,0.0054335771505376,0.0089156207437276,0.0153650681003584,0.0202237045250896,0.0269854838709677,0.032615621953405,0.0367633074820789,0.0436851673835125,0.0648711875896057,0.0955682388545159,0.119913872960145,0.163547167575201,0.204796277898216,0.231165900582341,0.266642972407191,0.544919175868766,0.716305157808995,0.792417084313167,0.866764326525345,0.899494854007063,0.905209485833333,0.915106799166667,0.932619195,1.052275,1.40496666666667,1.42998333333333,1.520625,1.82486666666667,1.98135,2.896575,3.71464166666667,3.90981666666667,4.35053333333333,4.585325,5.21736666666667,5.59570833333333,5.8057,8.2724,
Guinea,GIN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.685000023685,24.612752017628,22.7362739789965,20.716091769979,20.5562761717008,20.6732649333333,21.3819569425,21.1444826725,19.723540755,19.1070133208333,18.9688930416667,20.9481171191667,22.3660285241667,23.095183975,24.0899436958333,24.3330987866667,333.4525,428.4025,474.395833333333,591.645833333333,660.166666666667,753.858083333333,902.001333333333,955.490333333333,976.636416666667,991.4115,1004.01658333333,1095.3255,1236.83175,1387.40133333333,1746.86991666667,1950.55833333333,1975.84375,1984.93125,2243.93125,3644.33333333333,5148.75,4197.75200416667,4601.69100416667,4801.0832375,5726.07102083333,6658.03125833333,6985.82902633333,6907.8780695,7014.11877725,7485.51674166667,8967.92707958333,9088.31949623166,9011.13417725194,9183.87586390984,9565.08218343833,,,
Guinea-Bissau,GNB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,
Liberia,LBR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999916667,1.0,0.999999999916667,23.7193640227995,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280455991,46.4387280726884,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,46.4387280920379,49.8383333333333,46.8375,50.57,41.5075,41.9025,40.9025,48.591908993784,61.7541666666667,59.3788333333333,54.9058333333333,57.0958333333333,58.0133333333333,61.2722222222222,63.2075,68.2866666666667,71.4033333333333,72.2266666666667,73.5147720797721,77.52,83.8925,86.1883665716999,94.4272435897436,112.706666666667,144.055575801282,186.429744551072,191.517957643463,166.153700752442,152.933756840022,
Mali,MLI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,
Mauritania,MRT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4.93699111607702,4.93699111607702,4.93699111607702,4.93699111607702,4.93699111607702,4.93699111607702,4.93699111607702,4.93699111607702,4.93699111607702,5.19415731998417,5.55419000545419,5.54263250491634,5.04053333316667,4.45776666666667,4.53333333323333,4.3104249999,4.5022249999,4.558708333325,4.61625,4.58925,4.59140833325,4.82958333333333,5.17691666666667,5.48116666656667,6.38033333328333,7.70849999995833,7.43749999998333,7.38783333333333,7.52608333333333,8.3051,8.0609,8.19458333333333,8.702675,12.0805833333333,12.3575,12.9768333333333,13.7221666666667,15.1853333333333,18.8475833333333,20.9514166666667,23.8923333333333,25.5629166666667,27.1739166666667,26.303,,26.5528333333333,26.86,25.8586666666667,23.8203333333333,26.2365833333333,27.5894166666667,28.1118333333333,29.662,30.0681666666667,30.2725,32.4671666666667,35.2370833333333,35.7944166666667,35.6775,36.6908333333333,37.1891666666667,36.0633333333333,,
Niger,NER,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,
Nigeria,NGA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.714285999714286,0.712855832988096,0.657894999,0.657894999,0.630282046248239,0.615501553350787,0.626601003665369,0.644701062141186,0.635271994265801,0.604007374017144,0.546780891916083,0.617708175028805,0.673461261528524,0.724409851151573,0.766527449112392,0.893774083333333,1.75452300407481,4.0160373443363,4.53696666666667,7.364735,8.038285,9.90949166666667,17.298425,22.0654,21.996,21.8952583333333,21.884425,21.88605,21.886,92.3381,101.697333333333,111.23125,120.578158333333,129.22235,132.888025,131.274333333333,128.651666666667,125.808108333333,118.566666666667,148.88,150.2975,153.8625,157.5,157.311666666667,158.552641666667,192.440333333333,253.492,305.790109160005,306.083688245234,306.920951495223,358.810797258297,401.152029220779,425.979158066857,
